CaptureTime,DomainController,Site,SuccessfulLogons,FailedLogons,AccountLockouts,KerberosTgtRequests,KerberosServiceTickets,KerberosFailures,NtlmEvents,KerberosPercent,NtlmPercent,PasswordChanges,PasswordResets,NewUsers,DisabledUsers,PrivilegedGroupChanges,ReplicationFailures,DnsResponseMs,LdapResponseMs,CriticalServicesStatus,CpuPercent,MemoryPercent,DiskFreePercent,CriticalEventCount,ErrorEventCount,DnsServerErrors,DfsrErrors,IsPdcEmulator,Status,LikelyCause
2026-06-25 10:15:00,DC01,Tampa,18425,42,2,9122,7711,1,188,98.0,2.0,31,8,1,0,0,0,12,9,Healthy,34,58,42,0,3,0,0,Yes,Healthy,Normal
2026-06-25 10:15:00,DC02,Tampa,17690,37,1,8844,7440,0,133,98.52,1.48,28,6,0,0,0,0,14,11,Healthy,39,61,36,0,2,0,0,No,Healthy,Normal
2026-06-25 10:15:00,DC03,Dallas,15220,96,7,7410,6822,4,920,88.93,11.07,26,9,0,0,1,0,18,15,Healthy,46,64,28,0,5,0,0,No,Warning,Elevated account lockouts
2026-06-25 10:15:00,DC04,Dallas,14988,28,0,7221,6550,0,84,98.85,1.15,19,4,0,0,0,0,16,13,Healthy,31,49,52,0,1,0,0,No,Healthy,Normal
2026-06-25 10:15:00,DC05,Phoenix,11244,63,3,5220,4878,2,611,89.53,10.47,17,5,0,0,0,0,742,21,Healthy,43,68,34,0,4,2,0,No,Warning,Elevated NTLM authentication usage
2026-06-25 10:15:00,DC06,Phoenix,10888,54,1,5111,4722,0,72,98.61,1.39,15,3,0,0,0,0,22,18,Healthy,37,55,47,0,2,0,0,No,Healthy,Normal
2026-06-25 10:15:00,DC07,Charlotte,13455,131,5,6333,5900,8,102,98.42,1.58,33,11,1,0,0,0,19,1200,Healthy,57,72,29,1,8,0,1,No,Critical,LDAP response latency
2026-06-25 10:15:00,DC08,Charlotte,12991,44,0,6221,5774,0,99,98.43,1.57,21,7,0,0,0,0,17,16,Healthy,29,44,61,0,1,0,0,No,Healthy,Normal
2026-06-25 10:15:00,DC09,New York,16801,288,12,7990,7120,22,1220,86.75,13.25,44,18,1,1,3,3,1225,1040,Healthy,92,96,18,2,31,4,2,No,Critical,AD replication failure
2026-06-25 10:15:00,DC10,Chicago,10112,33,0,4880,4498,0,65,98.69,1.31,12,2,0,0,0,0,20,14,Issue: DFSR,41,62,33,0,6,0,7,No,Critical,Critical AD service issue
